timestamp	step	train/auc
1662224656810	0	0.5003578066825867
1662224765161	1	0.5
1662224861426	2	0.5
1662224951666	3	0.5
1662225038615	4	0.5
1662225129074	5	0.5
1662225216170	6	0.5
1662225304175	7	0.5
1662225376615	8	0.5
1662225425227	9	0.5
